pos,neg,neu,compound,Emotion,Author,Content,Date,Language,Location,Number of Likes,Number of Retweets,In Reply To,Author Name,Author Description,Author Statuses Count,Author Favourites Count,Author Friends Count,Author Followers Count,Author Listed Count,Author Verified,Longitude,Latitude,Selected,Selected (1)
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"🔴 Les actifs de @renaultgroup en Russie sont désormais propriété de l'État 

Cette décision intervient alors que le constructeur automobile français s'était retiré de Russie en mars 2022 après l'invasion de l'#Ukraine fin février.

https://t.co/35HqcIExtM",2022-05-16 06:30:43,fr,,33.0,23.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"«Et de son côté, comment la Russie, qui a dû si souvent se battre pour contenir la poussée de l’Occident vers l’Est, pourrait-elle ne pas éprouver une angoisse existentielle face à une Ukraine en train de devenir la tête de pont de l’occidentalisation du monde russe?»",2022-05-14 17:20:52,fr,,90.0,38.0,@Le_Figaro,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.028,0.972,-0.0516,Joy,@Le_Figaro,"«L’Occident s’est convaincu que si la Russie gagnait, elle n’aurait plus de limite dans sa volonté de domination. À l’inverse, la Russie s’est convaincue que si l’Occident faisait basculer l’Ukraine dans son camp, ce serait lui qui ne contiendrait plus son ambition hégémonique.»",2022-05-14 17:20:51,fr,,90.0,42.0,@Le_Figaro,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"[À DÉROULER] Henri Guaino: «Nous marchons vers la guerre comme des somnambules»

Dans un texte de haute tenue, l’ancien conseiller spécial de Nicolas Sarkozy relève des analogies entre la situation internationale née de la guerre en #Ukraine et l’état de l’Europe en juillet 1914. https://t.co/afKfxm6Yx8",2022-05-14 17:20:50,fr,,1121.0,646.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Surprise,@Le_Figaro,🔴 #Ukraine Le G7 «ne reconnaîtra jamais les frontières» que la Russie tente de modifier par la force https://t.co/BU3W84OGFu https://t.co/EnVcXJE6Az,2022-05-14 12:37:45,fr,,403.0,69.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"🔴 #Ukraine Après Kiev, les Russes mis en échec à Kharkiv

La région de Kharkiv était pourtant l’une des cibles prioritaires de la Russie

https://t.co/uUrPTMtJza",2022-05-14 08:45:49,fr,,55.0,22.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.084,0.916,-0.5267,Joy,@Le_Figaro,Un armement lourd a été fourni aux ukrainiens depuis le massacre de Boutcha et l’assaut du Donbass. La #Russie a été elle-même victime de sabotage sur son territoire et a également accusé l’Ukraine d’avoir effectué des frappes sur son sol. https://t.co/oJ2eGCWRvT,2022-05-13 13:07:01,fr,,11.0,3.0,@Le_Figaro,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Au cœur de l'enfer en #Ukraine, les guerres des femmes

«On est habitués aux histoires tristes, à l'injustice, mais pas à ­recevoir des bébés couverts du sang de leur maman.» 

https://t.co/TYMgBLVabh",2022-05-13 11:08:01,fr,,66.0,29.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Henri Guaino: «Nous marchons vers la guerre comme des somnambules»

«Faire aujourd’hui des concessions à la Russie, c’est se plier à la loi du plus fort. N’en faire aucune, c’est se plier à la loi du plus fou.» 

https://t.co/n1CEhpy8QC

#Ukraine",2022-05-13 10:08:55,fr,,120.0,47.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Surprise,@Le_Figaro,RT @LeonorHubaut: L’Europe aide le blé d’Ukraine à contourner le blocus russe https://t.co/wHrGIqHuoE via @Le_Figaro,2022-05-13 08:45:28,fr,,0.0,22.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.06,0.94,-0.2023,Joy,@Le_Figaro,"Washington accuse Moscou d'avoir transféré «de force» en Russie «plusieurs milliers» d'Ukrainiens

Souvent en passant par des «camps de filtration» où ils sont soumis à un traitement «brutal». 

https://t.co/VZNs8uyIax

#Ukraine",2022-05-13 06:08:13,fr,,22.0,13.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Deux civils ukrainiens abattus dans le dos par les Russes, révèlent des caméras de vidéosurveillance

«On n'assiste pas là à une bataille entre des soldats. C'est un lâche assassinat de deux hommes non armés par les forces russes.» 

https://t.co/r5WDSSmdm7

#Ukraine",2022-05-12 13:36:58,fr,,140.0,70.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Faut-il distribuer des comprimés d'iodes en cas d'attaque nucléaire russe?

«En ce moment-même, les médias russes pro-Poutine montrent des simulations d'attaque de l'Europe avec des missiles nucléaires.» 

https://t.co/ARz7X2oX19

#Ukraine",2022-05-12 11:08:28,fr,,15.0,8.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.086,0.914,-0.4939,Joy,@Le_Figaro,"La pénurie de galettes menace la Bretagne

«Le prix du blé noir venu de Chine est devenu exorbitant, tandis que les pays de l’Est ont stoppé leurs exportations à cause de la guerre en #Ukraine.» 

https://t.co/HxJtqwFqc6",2022-05-11 13:07:24,fr,,46.0,23.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Les Occidentaux accusent la Russie d'avoir paralysé des satellites pour préparer l'invasion de l'Ukraine

L'UE affirmait jusque-là que les cyberattaques provenaient «de l'intérieur de la Russie», sans accuser directement les autorités russes. https://t.co/324QH1JKBU",2022-05-10 17:40:20,fr,,13.0,8.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"#Poutine va «probablement» imposer la loi martiale, selon Washington

«Nous estimons que le président Poutine se prépare à un conflit prolongé en #Ukraine, durant lequel il a encore l'intention d'atteindre des objectifs au-delà du #Donbass.» 

https://t.co/Zeu2Ple5Ql",2022-05-10 15:36:27,fr,,26.0,9.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"#Ukraine L'effet des sanctions se fait sentir sur l'armement russe, selon le Pentagone

Selon un haut responsable américain, l'opération menée par la Russie dans le sud de l'Ukraine «n'a quasiment pas progressé ces derniers jours» https://t.co/MgzukvphuU",2022-05-10 08:36:08,fr,,16.0,3.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Emmanuel Macron se dit «favorable» à une révision des traités de l'UE

Le président propose la création d'une «communauté politique européenne» pour accueillir notamment l'Ukraine, pendant la procédure d'adhésion à l'UE qui prendra des années. 
https://t.co/6d5JAYDfBH",2022-05-09 19:32:37,fr,,16.0,16.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.052,0.0,0.948,0.2732,Joy,@Le_Figaro,"En visite surprise en Ukraine, Charles Michel forcé de s'abriter à cause de frappes 

«Les participants ont dû interrompre la réunion pour se mettre à l'abri car des missiles ont à nouveau frappé la région d'Odessa», a rapporté un responsable de l'UE.

https://t.co/mehOdYnWuU",2022-05-09 14:02:09,fr,,23.0,9.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.042,0.958,-0.128,Joy,@Le_Figaro,"#Ukraine Depuis la place Rouge, face à des milliers de soldats participant au défilé du #9mai, Vladimir Poutine a souligné que tout devait être fait pour éviter que «l'horreur d'une nouvelle guerre globale ne se répète». https://t.co/C6Q1Wcd4BU",2022-05-09 08:15:42,fr,,264.0,80.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Fear,@Le_Figaro,"DIRECT - #Ukraine L'armée russe défend «la patrie» en #Ukraine, selon Poutine 

https://t.co/F8o01FM4M1",2022-05-09 07:28:51,fr,,9.0,3.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.048,0.952,-0.2732,Joy,@Le_Figaro,"#Ukraine Notre envoyé spécial Alain Barluet (@abarluet) a pu visiter, une nouvelle fois, la cité portuaire dans le cadre d’un voyage de presse, du 29 avril au 1er mai, organisé par le ministère de la Défense russe.

Il raconte son reportage «très encadré». https://t.co/92B8IxIpwO",2022-05-09 06:39:31,fr,,28.0,17.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Fear,@Le_Figaro,#Ukraine Bono et The Edge de U2 se produisent dans le métro de Kiev à l'invitation de Zelensky https://t.co/ABqjtP7E3L,2022-05-09 06:17:07,fr,,25.0,20.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.077,0.046,0.876,0.296,Joy,@Le_Figaro,"Le G7 accuse Poutine de couvrir la Russie «de honte»

Les chefs d'État et de gouvernement du G7 ont «répété (leur) engagement à prendre de nouvelles mesures pour aider l'Ukraine à s'assurer un avenir libre et démocratique». 

https://t.co/fCx3rFQrXP",2022-05-08 20:04:56,fr,,26.0,22.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.072,0.928,-0.4939,Joy,@Le_Figaro,"La guerre en #Ukraine a engendré une flambée des prix de l'énergie, entraînant une inflation de 7,5% dans la zone euro, couplée à une croissance quasi-nulle (0,2% au premier trimestre). La combinaison des deux phénomènes fait planer la menace d'une «stagflation» en Europe. https://t.co/urEAzqxWNV",2022-05-08 14:23:19,fr,,22.0,13.0,@Le_Figaro,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.095,0.905,-0.4404,Joy,@Le_Figaro,"Notre envoyé spécial est retourné à Marioupol, il raconte ce reportage «très encadré»

Alors que les combats se poursuivent aux abords de l'usine Azovstal, à Marioupol en #Ukraine, notre envoyé spécial @abarluet a pu visiter, une nouvelle fois, la cité portuaire. https://t.co/WBJP63CoLE",2022-05-08 14:00:02,fr,,18.0,11.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"«Nous nous battrons tant que nous serons en vie», affirment les soldats retranchés à Azovstal

Ces soldats cachés dans le complexe sidérurgique de Marioupol résistent depuis des semaines à l'envahisseur russe.

 https://t.co/tikqpx7R1P
#Ukraine",2022-05-08 13:05:26,fr,,47.0,14.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Le discours poignant de Volodymyr Zelensky pour commémorer le #8mai1945

«Le 24 février, le mot ""jamais"" a été effacé. Abattu et bombardé. Par des centaines de missiles à 4 heures du matin, qui ont réveillé toute l'Ukraine.» https://t.co/70CQkjVKce",2022-05-08 12:35:28,fr,,410.0,176.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.0,0.0,1.0,0.0,Joy,@Le_Figaro,"Le président russe a multiplié les références au «nazisme» dans ses vœux adressés le 8 mai aux pays de l'ancien bloc soviétique et de l'Asie centrale, ainsi qu'aux régions séparatistes de l'est de l'#Ukraine.

#8mai1945 https://t.co/BTPegrnG4C",2022-05-08 12:05:43,fr,,182.0,52.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
0.121,0.0,0.879,0.4404,Joy,@Le_Figaro,"Emmanuel Macron commémore la victoire du #8mai1945 sur fond de guerre en Ukraine

«Nous pensions que la guerre avait disparu d'Europe.»

https://t.co/UaAyJsAhvJ",2022-05-08 11:35:40,fr,,38.0,20.0,,Le Figaro,La culture de la liberté depuis 1826,719332.0,5857.0,635.0,3598084.0,17140.0,True,,,No,No
